,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-01-05,239.00247490346482,223.71165428775373,246.82533949665185,239.00247490346482,239.00247490346482,-3.4104092587611943,-3.4104092587611943,-3.4104092587611943,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.748171814241829,-2.748171814241829,-2.748171814241829,3.9131641483396735,3.9131641483396735,3.9131641483396735,0.0,0.0,0.0,235.5920656447036
1,2018-01-12,238.09538588453097,224.84316495877715,249.84109830858594,238.09538588453097,238.09538588453097,-1.0258758961548657,-1.0258758961548657,-1.0258758961548657,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142416174,-2.7481718142416174,-2.7481718142416174,6.29769751094579,6.29769751094579,6.29769751094579,0.0,0.0,0.0,237.0695099883761
2,2018-01-19,237.18829686559712,226.26728554407762,251.198417008577,237.18829686559712,237.18829686559712,0.9231403566791261,0.9231403566791261,0.9231403566791261,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142423754,-2.7481718142423754,-2.7481718142423754,8.246713763780539,8.246713763780539,8.246713763780539,0.0,0.0,0.0,238.11143722227624
3,2018-01-26,236.28120784666325,225.0351171707107,250.25001889229802,236.28120784666325,236.28120784666325,1.0238265181309818,1.0238265181309818,1.0238265181309818,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.748171814242517,-2.748171814242517,-2.748171814242517,8.347399925232537,8.347399925232537,8.347399925232537,0.0,0.0,0.0,237.30503436479424
4,2018-02-02,235.3741188277294,222.29881414380858,246.99097768898153,235.3741188277294,235.3741188277294,-0.8455062443733584,-0.8455062443733584,-0.8455062443733584,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142423053,-2.7481718142423053,-2.7481718142423053,6.478067162727985,6.478067162727985,6.478067162727985,0.0,0.0,0.0,234.52861258335605
5,2018-02-09,234.46702980879553,219.35689388859862,244.2947338324833,234.46702980879553,234.46702980879553,-2.9586673741491887,-2.9586673741491887,-2.9586673741491887,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142430633,-2.7481718142430633,-2.7481718142430633,4.364906032952914,4.364906032952914,4.364906032952914,0.0,0.0,0.0,231.50836243464633
6,2018-02-16,233.5599407862059,218.26933884093668,242.36707826858287,233.5599407862059,233.5599407862059,-3.3068003669744126,-3.3068003669744126,-3.3068003669744126,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.748171814242851,-2.748171814242851,-2.748171814242851,4.016773040127477,4.016773040127477,4.016773040127477,0.0,0.0,0.0,230.2531404192315
7,2018-02-23,232.65285176361624,218.87564298605488,243.72308221327782,232.65285176361624,232.65285176361624,-1.856574466639222,-1.856574466639222,-1.856574466639222,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.748171814242023,-2.748171814242023,-2.748171814242023,5.466998940461839,5.466998940461839,5.466998940461839,0.0,0.0,0.0,230.79627729697702
8,2018-03-02,231.74576274102657,219.61040139640414,243.26438206155692,231.74576274102657,231.74576274102657,-0.8254322196522367,-0.8254322196522367,-0.8254322196522367,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142433977,-2.7481718142433977,-2.7481718142433977,6.498141187450199,6.498141187450199,6.498141187450199,0.0,0.0,0.0,230.92033052137432
9,2018-03-09,230.83867371843695,216.306947688839,240.67276105732188,230.83867371843695,230.83867371843695,-2.291869495737424,-2.291869495737424,-2.291869495737424,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142425695,-2.7481718142425695,-2.7481718142425695,5.0317039113641835,5.0317039113641835,5.0317039113641835,0.0,0.0,0.0,228.54680422269954
10,2018-03-16,229.93158469584728,212.48668790877332,236.80749294534368,229.93158469584728,229.93158469584728,-5.636127873001003,-5.636127873001003,-5.636127873001003,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142423572,-2.7481718142423572,-2.7481718142423572,1.6874455341003924,1.6874455341003924,1.6874455341003924,0.0,0.0,0.0,224.29545682284626
11,2018-03-23,229.0244956732576,209.0708435376313,233.0957470745203,229.0244956732576,229.0244956732576,-7.831263742608445,-7.831263742608445,-7.831263742608445,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142421454,-2.7481718142421454,-2.7481718142421454,-0.5076903355072618,-0.5076903355072618,-0.5076903355072618,0.0,0.0,0.0,221.19323193064915
12,2018-03-30,228.11740670148924,209.6766871296498,233.46464889415444,228.11740670148924,228.11740670148924,-6.551725411312175,-6.551725411312175,-6.551725411312175,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.748171814242903,-2.748171814242903,-2.748171814242903,0.7718479957897671,0.7718479957897671,0.7718479957897671,0.0,0.0,0.0,221.56568129017708
13,2018-04-06,227.21031772972086,211.64383146668874,236.88726329985573,227.21031772972086,227.21031772972086,-2.812153850977849,-2.812153850977849,-2.812153850977849,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142420752,-2.7481718142420752,-2.7481718142420752,4.511419556123265,4.511419556123265,4.511419556123265,0.0,0.0,0.0,224.39816387874302
