,ds,y
168,2020-03-06 00:00:00,153.65
169,2020-03-06 00:00:00,153.65
170,2020-02-28 00:00:00,149.24
171,2020-02-28 00:00:00,149.24
172,2020-02-21 00:00:00,156.93
173,2020-02-21 00:00:00,156.93
174,2020-02-14 00:00:00,161.01
175,2020-02-14 00:00:00,161.01
176,2020-02-07 00:00:00,160.08
177,2020-02-07 00:00:00,160.08
178,2020-01-31 00:00:00,158.66
179,2020-01-31 00:00:00,158.66
180,2020-01-24 00:00:00,178.15
181,2020-01-24 00:00:00,178.15
182,2020-01-17 00:00:00,181.35
183,2020-01-17 00:00:00,181.35
184,2020-01-10 00:00:00,180.47
185,2020-01-10 00:00:00,180.47
186,2020-01-03 00:00:00,178.45
187,2020-01-03 00:00:00,178.45
188,2019-12-27 00:00:00,177.26
189,2019-12-27 00:00:00,177.26
190,2019-12-20 00:00:00,175.37
191,2019-12-20 00:00:00,175.37
192,2019-12-13 00:00:00,168.79
193,2019-12-13 00:00:00,168.79
194,2019-12-06 00:00:00,171.47
195,2019-12-06 00:00:00,171.47
196,2019-11-29 00:00:00,169.77
197,2019-11-29 00:00:00,169.77
198,2019-11-22 00:00:00,167.6
199,2019-11-22 00:00:00,167.6
200,2019-11-15 00:00:00,171.88
201,2019-11-15 00:00:00,171.88
202,2019-11-08 00:00:00,173.15
203,2019-11-08 00:00:00,173.15
204,2019-11-01 00:00:00,170.09
205,2019-11-01 00:00:00,170.09
206,2019-10-25 00:00:00,166.09
207,2019-10-25 00:00:00,166.09
208,2019-10-18 00:00:00,163.1
209,2019-10-18 00:00:00,163.1
210,2019-10-11 00:00:00,158.1
211,2019-10-11 00:00:00,158.1
212,2019-10-04 00:00:00,155.82
213,2019-10-04 00:00:00,155.82
214,2019-09-27 00:00:00,164.53
215,2019-09-27 00:00:00,164.53
216,2019-09-20 00:00:00,166.76
217,2019-09-20 00:00:00,166.76
218,2019-09-13 00:00:00,171.44
219,2019-09-13 00:00:00,171.44
220,2019-09-06 00:00:00,163.94
221,2019-09-06 00:00:00,163.94
222,2019-08-30 00:00:00,161.72
223,2019-08-30 00:00:00,161.72
224,2019-08-23 00:00:00,155.85
225,2019-08-23 00:00:00,155.85
226,2019-08-16 00:00:00,161.5
227,2019-08-16 00:00:00,161.5
228,2019-08-09 00:00:00,163.47
229,2019-08-09 00:00:00,163.47
230,2019-08-02 00:00:00,170.55
231,2019-08-02 00:00:00,170.55
232,2019-07-26 00:00:00,173.98
233,2019-07-26 00:00:00,173.98
234,2019-07-19 00:00:00,172.61
235,2019-07-19 00:00:00,172.61
236,2019-07-12 00:00:00,173.34
237,2019-07-12 00:00:00,173.34
238,2019-07-05 00:00:00,172.0
239,2019-07-05 00:00:00,172.0
240,2019-06-28 00:00:00,173.34
241,2019-06-28 00:00:00,173.34
242,2019-06-21 00:00:00,173.35
243,2019-06-21 00:00:00,173.35
244,2019-06-14 00:00:00,166.69
245,2019-06-14 00:00:00,166.69
246,2019-06-07 00:00:00,166.61
247,2019-06-07 00:00:00,166.61
248,2019-05-31 00:00:00,159.75
249,2019-05-31 00:00:00,159.75
250,2019-05-24 00:00:00,166.09
251,2019-05-24 00:00:00,166.09
252,2019-05-17 00:00:00,169.09
253,2019-05-17 00:00:00,169.09
254,2019-05-10 00:00:00,175.86
255,2019-05-10 00:00:00,175.86
