,Unnamed: 0,ticker,MSE,MAE,MAPE,last_price,3_month_yhat,interval,interval_perc,3_month_perc_change,MAPE_Score,interval_perc_Score,3_month_perc_change_Score,Strategy_Score
0,0,MMM,252.4855896985716,13.973927448745007,6.614178827969429,180.61,214.81025717117015,24.913836189867936,0.116,0.1894,-2,-3,4,2
1,1,BKNG,66468.85137373219,234.770426309846,11.326041091747909,2437.01,2674.0965108965256,390.5447366425951,0.146,0.0973,-3,-3,2,-1
2,2,ABT,22.84140523521711,3.86895582977286,6.3209908277504905,129.09,130.5689246939249,8.902180926392631,0.0682,0.0115,-2,-1,1,-1
3,3,ABBV,80.23663191485716,7.803182994024736,7.80189158195062,117.06,125.359556655898,10.727017564394217,0.0856,0.0709,-2,-2,2,0
4,4,ACN,731.1249920304284,25.24499344173256,15.95500679236341,366.8,365.3607572400061,24.481977603176176,0.067,-0.0039,-4,-1,1,-3
5,5,ADBE,829.1893293242413,22.8896270161211,10.083972898501568,674.08,670.3532830320119,57.80014440303489,0.0862,-0.0055,-2,-2,1,-1
6,6,MO,21.452298743657305,4.005831713921904,6.657362761468567,44.61,50.63558599209321,8.346441816216675,0.1648,0.1351,-2,-4,3,1
7,7,AMZN,62617.66906884705,223.879034170282,15.0325518091088,3477.0,3273.087551645316,261.3566549881957,0.0799,-0.0586,-4,-1,1,-3
8,8,AXP,22.02250813723912,4.15044382921653,4.223225595735451,172.53,206.52475600772195,20.66459133601748,0.1001,0.197,-1,-2,4,3
9,9,AIG,56.62169311879867,6.899014315940122,12.120238422633795,60.39,60.097108314809525,16.132232193354113,0.2684,-0.0049,-3,-4,1,-2
10,10,AMGN,318.2779133908875,15.06359108406926,8.468564631264956,214.93,224.12058664936177,29.102849133924707,0.1299,0.0428,-2,-3,2,0
11,11,AAPL,764.4208655890429,24.330447465986463,13.672789236012994,150.96,57.111336638031126,148.41281306123406,2.5987,-0.6217,-3,-4,1,-2
12,12,T,30.539959010413742,5.00171826723774,14.101431329777403,24.8,27.11436249163454,5.12774043484519,0.1891,0.0933,-3,-4,2,-1
13,13,BAC,2.130530402142941,1.0556566708042208,3.408749846140038,47.33,52.77553243339565,7.410254275225554,0.1404,0.1151,-1,-3,3,2
14,14,BK,6.986886035721835,2.284151545831716,4.156907021554284,59.06,65.60165498452744,7.784954460559952,0.1187,0.1108,-1,-3,2,1
15,15,BRK.B,131.2674984544271,10.477668875006128,5.340761403478735,287.69,327.709902235986,27.9552653079258,0.0853,0.1391,-1,-2,3,2
16,16,BIIB,4453.110032177937,60.37886650941815,20.85364150247367,280.41,326.21518502307015,80.91265070351409,0.248,0.1634,-4,-4,3,-1
17,17,BLK,2510.541632237929,40.71890520806104,7.471469711011926,954.04,1056.2574198791854,76.35543204785063,0.0723,0.1071,-2,-1,2,0
18,18,BMY,47.55486355318536,5.729837673496977,10.224181115815409,59.25,68.02410299098332,7.845066644242095,0.1153,0.1481,-3,-2,3,0
19,19,COF,31.237112519955577,4.180444403028587,4.319438215805395,153.46,209.4819774809681,27.017973831062648,0.129,0.3651,-1,-3,4,3
20,20,CAT,110.94201215044664,8.674428487392792,5.549547505831192,203.59,234.92178901545452,32.29098307550902,0.1375,0.1539,-1,-3,3,2
21,21,CHTR,12364.556526672864,93.4235442971287,28.01542286462237,686.07,795.9491468248707,63.515824469999416,0.0798,0.1602,-4,-1,3,-1
22,22,CVX,35.94187013946245,4.543428095319571,3.786615066642587,113.51,115.88745033288666,18.10438901814368,0.1562,0.0209,-1,-4,1,0
23,23,CSCO,12.553990959445173,2.907051946068354,6.765455541188814,57.12,61.42776160696409,6.438414011472993,0.1048,0.0754,-2,-2,2,0
24,24,C,6.630544973543628,2.0753864101053243,2.9472482302157466,70.88,81.60784156054378,21.91247420630685,0.2685,0.1514,-1,-4,3,2
25,25,CL,88.99713340065324,7.072110063815507,9.875070387263172,77.29,75.48995936668236,6.232512969853687,0.0826,-0.0233,-2,-1,1,-1
26,26,CMCSA,41.5182313790237,4.5402391510228695,11.748721738001834,52.73,59.72740327230983,4.984418850958413,0.0835,0.1327,-3,-1,3,0
27,27,COP,410.46600154389154,17.60014227757029,29.68276702070547,73.31,79.40818130439422,13.933509666740449,0.1755,0.0832,-4,-4,2,-2
28,28,COST,688.194968459709,25.46584166443993,13.015319732074094,515.62,485.2981590988867,30.956283762203043,0.0638,-0.0588,-3,-1,1,-2
29,29,CVS,210.4714682813434,13.931024646600983,20.572097511338605,94.49,101.56599663862532,9.90790820392597,0.0976,0.0749,-4,-2,2,-2
30,30,DHR,1429.598399861686,35.7575446255978,35.83717231437792,305.99,341.7314227317593,24.21451051722562,0.0709,0.1168,-4,-1,3,-1
31,31,DUK,12.235383066211956,2.8230894032964478,3.685324849237278,101.02,113.43569943387185,9.786646994223888,0.0863,0.1229,-1,-2,3,2
32,32,LLY,1111.6205540535557,32.644636194241464,39.85604137824766,271.0,304.6807678039424,23.56594589812204,0.0773,0.1243,-4,-1,3,-1
33,33,EMR,7.652162653130789,2.317150841433295,3.270253553844069,97.16,116.89674579886568,15.411191515963708,0.1318,0.2031,-1,-3,4,3
34,34,EXC,4.602247710337878,1.6751114526658324,4.3431705145809545,54.11,56.11208783649819,5.357930194155188,0.0955,0.037,-1,-2,2,1
35,35,XOM,104.280135016858,9.260778666195622,11.836900324401809,64.41,70.74943175669505,12.911628875859163,0.1825,0.0984,-3,-4,2,-1
36,36,FB,2868.0541025951597,51.63562912209807,28.228511804683343,335.85,377.7958826219539,35.728341408816334,0.0946,0.1249,-4,-2,3,-1
