,ticker,MSE,MAE,MAPE,last_price,3_month_yhat,interval,3_month_perc_change
0,MMM,214.34019862992741,13.839601964257724,7.417210840876737,180.61,229.78443037612294,26.19818687200737,0.2723
1,BKNG,111775.98551938221,272.75086199804446,12.276955907298232,2437.01,2849.8978135589023,402.9826527044356,0.1694
2,ABT,109.89296004341618,9.34590911797903,7.708207627288945,129.09,146.89424535072214,10.096580595654927,0.1379
3,ABBV,16.529094370659145,3.569501762846378,3.1787037202528694,117.06,128.54322888095658,13.392247094922524,0.0981
4,ACN,609.7777837824713,18.197901682654653,5.305713243844052,366.8,349.9536420179096,27.49578999892367,-0.0459
5,ADBE,4690.658734586721,63.70174166917097,9.964394536041183,674.08,590.973343063051,50.03285609354975,-0.1233
6,AGN,579.6796584915913,20.770294211995026,11.458549783010625,193.02,410.06490627690147,103.44144705464146,1.1245
7,MO,10.019822207878427,2.672297650512083,5.669152372613519,44.61,54.581767328942306,8.95516179233281,0.2235
8,AMZN,90038.28285562972,274.60712623638494,8.159477994340621,3477.0,3700.1798854126414,412.69001430520166,0.0642
9,AXP,190.43180327095914,12.126842740898198,7.209520861341395,172.53,213.29109963016936,24.63140526301018,0.2363
10,AIG,88.84203404652729,8.409012544931505,15.118203243777442,60.39,49.66657337550934,18.926906425886386,-0.1776
11,AMGN,1243.4072623299621,31.897692128342406,14.671829064378702,214.93,260.7572061143072,27.847766599924825,0.2132
12,AAPL,6552.858856859077,64.91444554441766,44.0794873207971,150.96,10.55814570022045,139.2912376104262,-0.9301
13,T,20.459553361543517,4.475327567261685,16.497235656344646,24.8,33.503558196053724,6.746603992216787,0.3509
14,BAC,25.781749958709646,4.512287096142822,10.823053038124023,47.33,53.54266419112799,7.598911186050131,0.1313
15,BK,21.582524509260917,3.3763340303214826,6.067904971990632,59.06,60.813968258314475,7.867349561103133,0.0297
16,BRK.B,1492.3261804493252,34.686173248444575,12.363894592894201,287.69,367.4029706010875,28.50395306108561,0.2771
17,BIIB,1506.9578116870707,31.413239332271406,9.538501686128539,280.41,306.648073653787,86.32405997678478,0.0936
18,BLK,2266.4896571675317,40.30509736669536,4.507757959853398,954.04,1066.9286714393586,86.31262234414373,0.1183
19,BMY,16.90398891827271,3.2398108439658757,5.3684131701921025,59.25,71.02409153571107,9.731670839818662,0.1987
20,COF,553.0389792012368,19.503845413759016,12.107978992153082,153.46,231.90211537257966,27.511538301249885,0.5112
21,CAT,3726.7061163710196,60.2438831631312,29.284707227732497,203.59,316.8167482275022,28.29657603280259,0.5562
22,CHTR,1056.8740597648232,27.9383542944339,3.7379897690940482,686.07,813.8482691904337,59.352973329147744,0.1862
23,CVX,70.34599185610263,7.625934543128835,7.592413111571998,113.51,119.94046426232059,20.16851254869661,0.0567
24,CSCO,14.330458755756265,3.3355720133746813,5.87208185841666,57.12,57.452887786227215,7.582424354485518,0.0058
25,C,309.4615373395137,17.12127887660823,23.612749050656955,70.88,60.250289595149205,22.414470673364903,-0.15
26,CL,89.76130859841723,9.030149595868314,11.644291961318654,77.29,90.4086227815042,8.051264613377128,0.1697
27,CMCSA,54.27688255158233,7.248228363305958,12.724516955428292,52.73,72.92068696423249,7.839306553308006,0.3829
28,COP,115.72291927459499,8.217366118705348,12.0241238417414,73.31,64.56691866612009,15.806352887074112,-0.1193
29,COST,2948.197660803816,45.54481992568401,9.79595565532171,515.62,421.91127719127934,25.694877895907155,-0.1817
30,CVS,66.19294765151922,7.1510481508926675,8.471239711867737,94.49,102.79799764870371,12.219033406502007,0.0879
31,DHR,1143.6980735057464,30.393201940562005,9.6787427745574,305.99,313.88289413765483,22.206243049780255,0.0258
32,DUK,13.826875873591167,2.917550395063779,2.8628223151080907,101.02,114.35247396145942,10.51824433784553,0.132
33,LLY,1310.9010693927376,33.52561041488337,13.392876883267219,271.0,255.88675982388133,23.396996232935408,-0.0558
34,EMR,71.55633484564301,7.242663234443941,7.34725146838477,97.16,123.41189498524717,13.917356636282719,0.2702
35,EXC,15.081059676607424,3.327224551786929,6.713265854680987,54.11,52.66886804644299,6.647461709254529,-0.0266
36,XOM,81.6410540367497,7.821069621716491,13.771989317313333,64.41,77.80088577188849,15.947581115192932,0.2079
37,FB,261.9147370731423,14.28469686730639,4.08230903312171,335.85,379.4505099180957,36.67693098458642,0.1298
38,FDX,13105.62219384568,113.57368219540562,44.403088591375806,245.01,414.56339474924897,50.28021860795184,0.692
39,F,6.2831086502302576,2.27328138105053,16.05882832287365,19.42,19.79093277906004,2.7733538100640267,0.0191
40,GD,251.54272662561647,14.440090893651421,7.359394097445862,198.16,235.0830080541824,31.67715894379367,0.1863
41,GE,6169.102186650709,68.29543915943236,67.68908967593205,105.21,17.358131601939323,4.251928073521448,-0.835
42,GM,300.20118675819907,16.638654119264615,31.14648209109413,58.64,92.14493061750272,10.855198005871529,0.5714
43,GILD,83.20202462386519,8.10747930523635,11.560639774664423,66.47,59.917030385739984,9.88745792451003,-0.0986
44,GOOG,42518.43681007865,163.49452635159565,5.857392998533799,2973.66,3276.865125633383,230.655400061597,0.102
45,GOOGL,54226.91299519694,193.25337764580394,6.987959565094274,2965.35,3192.0496822806067,208.62474458384577,0.0764
46,HD,660.5726152762107,22.710105399481744,6.6997043256368,372.18,363.1089398717187,30.885397874795444,-0.0244
47,INTC,11.926471337969542,2.4708135984307367,4.739676721739149,50.31,59.55878602736775,10.293623287825909,0.1838
48,IBM,105.83292430088056,9.00897414483577,6.673962108434058,120.85,156.92447156149552,20.42649593001744,0.2985
