,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-06-04,202.5066184576549,177.5904172100837,201.78066555659328,202.5066184576549,202.5066184576549,-13.12585335487458,-13.12585335487458,-13.12585335487458,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142424985,-2.7481718142424985,-2.7481718142424985,-5.802279947773042,-5.802279947773042,-5.802279947773042,0.0,0.0,0.0,189.38076510278032
1,2021-06-04,202.5066184576549,177.38363370174943,202.31277848761536,202.5066184576549,202.5066184576549,-13.12585335487458,-13.12585335487458,-13.12585335487458,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142424985,-2.7481718142424985,-2.7481718142424985,-5.802279947773042,-5.802279947773042,-5.802279947773042,0.0,0.0,0.0,189.38076510278032
2,2021-06-11,203.35623894683087,177.20412033564165,202.8717852053132,203.33741004992518,203.3638088574643,-13.32150121996639,-13.32150121996639,-13.32150121996639,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142416702,-2.7481718142416702,-2.7481718142416702,-5.99792781286568,-5.99792781286568,-5.99792781286568,0.0,0.0,0.0,190.03473772686448
3,2021-06-11,203.35623894683087,178.32063694381162,203.05999691019076,203.33741004992518,203.3638088574643,-13.32150121996639,-13.32150121996639,-13.32150121996639,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142416702,-2.7481718142416702,-2.7481718142416702,-5.99792781286568,-5.99792781286568,-5.99792781286568,0.0,0.0,0.0,190.03473772686448
4,2021-06-18,204.20585943600685,177.84379328790908,202.41619265326884,204.13838322749191,204.2707369981015,-13.754664955172403,-13.754664955172403,-13.754664955172403,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142433986,-2.7481718142433986,-2.7481718142433986,-6.431091548069966,-6.431091548069966,-6.431091548069966,0.0,0.0,0.0,190.45119448083443
5,2021-06-18,204.20585943600685,178.6330182359836,201.98820873198758,204.13838322749191,204.2707369981015,-13.754664955172403,-13.754664955172403,-13.754664955172403,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142433986,-2.7481718142433986,-2.7481718142433986,-6.431091548069966,-6.431091548069966,-6.431091548069966,0.0,0.0,0.0,190.45119448083443
6,2021-06-25,205.05547992518282,178.4196960915108,203.09821090691392,204.93176805708686,205.17441355558583,-14.348984378891062,-14.348984378891062,-14.348984378891062,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.748171814243187,-2.748171814243187,-2.748171814243187,-7.025410971788835,-7.025410971788835,-7.025410971788835,0.0,0.0,0.0,190.70649554629176
7,2021-06-25,205.05547992518282,178.86103773718756,203.27405954762722,204.93176805708686,205.17441355558583,-14.348984378891062,-14.348984378891062,-14.348984378891062,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.748171814243187,-2.748171814243187,-2.748171814243187,-7.025410971788835,-7.025410971788835,-7.025410971788835,0.0,0.0,0.0,190.70649554629176
8,2021-07-02,205.90510041435886,179.30705539612296,203.8762218091393,205.69241876158276,206.1101559947565,-14.659707549181519,-14.659707549181519,-14.659707549181519,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142429745,-2.7481718142429745,-2.7481718142429745,-7.336134142079504,-7.336134142079504,-7.336134142079504,0.0,0.0,0.0,191.24539286517734
9,2021-07-02,205.90510041435886,179.69015858568127,203.3337710486177,205.69241876158276,206.1101559947565,-14.659707549181519,-14.659707549181519,-14.659707549181519,-4.575401592859039,-4.575401592859039,-4.575401592859039,-2.7481718142429745,-2.7481718142429745,-2.7481718142429745,-7.336134142079504,-7.336134142079504,-7.336134142079504,0.0,0.0,0.0,191.24539286517734
