ticker,RMSE,MAPE,MSE,MAE
MMM,5.10597333981341,2.33362428596321,26.0709637468853,4.27128082810787
BKNG,113.367220213507,4.22201419860499,12852.1266189378,92.6214788925439
ABT,4.24237935495523,2.92462731438548,17.9977825913504,3.43233511406079
ABBV,4.11868440250689,2.8575802176893,16.9635612074536,3.20032219928244
ACN,24.2899234058953,7.3485391850354,590.000379064258,21.8267017177366
ADBE,91.5263379416666,15.5601731814694,8377.07053701216,85.2793144359923
MO,2.05981660800099,3.51214821941532,4.24284445859672,1.59216287177906
AMZN,135.630849483186,3.32527552850512,18395.7273315306,110.524369003564
AXP,9.1786105651025,5.46308604556714,84.2468919058113,7.60734702127022
AIG,4.94224735142492,9.809077872602,24.4258088826666,4.58456403230366
AMGN,16.2332835237471,5.88226692468076,263.519493962358,14.006384512918
AAPL,8.26532776614948,5.43304407626211,68.3156430818815,7.20874608090049
T,0.768374513919077,2.1617777627613,0.590399393640377,0.614457438954136
BAC,1.54371818183717,3.5659112406241,2.38306582493467,1.2836040523596
BK,2.84352055242759,5.18413595226169,8.0856091320781,2.49883482815927
BRK.B,70.170056404269,27.1871990919388,4923.83681577829,69.8918713593065
BIIB,26.9213220017146,5.45117694854811,724.757578320004,16.8837335312157
BLK,35.6897867332665,3.50573209059335,1273.76087706605,27.5803525904605
BMY,2.02725001681708,2.65548987868357,4.10974263068487,1.65645494962993
COF,9.16535921794644,5.68224328485329,84.0038095939957,7.80705341539885
CAT,7.72949625701266,2.87962193600878,59.7451123871728,5.79965774268435
CHTR,44.0128639960679,4.64991979694287,1937.13219713637,33.4145012207031
CVX,3.88619705987827,3.17105753453276,15.1025275882065,3.04648560105709
CSCO,2.21370699896133,3.57536579267884,4.90049867725037,1.77476051999812
C,5.13014187045169,7.20960279329639,26.3183556109615,4.59067750629626
CL,1.52842389389324,1.43583535289382,2.33607959942379,1.14602693791975
CMCSA,1.93698241778476,2.86974554186027,3.75190088680731,1.5386615873638
COP,3.18679460107182,5.07339126415399,10.1556598294205,2.54449288351494
COST,40.377942695271,8.73758876893024,1630.37825630259,35.7942006750274
CVS,4.54833121774122,4.68233771971859,20.6873168662793,3.68662661636085
DHR,15.6786486761775,4.77612429861696,245.820024311003,12.5356080600672
DUK,2.67627575914142,2.28172166463791,7.16245193896801,2.22706001683285
LLY,15.9092068026985,6.08713276972411,253.10286109103,12.269240476374
EMR,3.49100678504038,3.43058320769591,12.187128373198,3.02593083431846
